"","sex","age","h.cent","h.cm","bpC50","bpC90","bpC95","bpC9512","bp"
"1",1,2,5,86.1,87,100,104,116,"sbp"
"2",1,2,10,87.4,87,100,105,117,"sbp"
"3",1,2,25,89.6,88,101,105,117,"sbp"
"4",1,2,50,92.1,89,102,106,118,"sbp"
"5",1,2,75,94.7,89,103,107,119,"sbp"
"6",1,2,90,97.1,90,103,107,119,"sbp"
"7",1,2,95,98.5,91,104,108,120,"sbp"
"8",1,3,5,92.5,88,101,106,118,"sbp"
"9",1,3,10,93.9,89,102,106,118,"sbp"
"10",1,3,25,96.3,89,102,107,119,"sbp"
"11",1,3,50,99,90,103,107,119,"sbp"
"12",1,3,75,101.8,91,104,108,120,"sbp"
"13",1,3,90,104.3,92,105,109,121,"sbp"
"14",1,3,95,105.8,92,105,109,121,"sbp"
"15",1,4,5,98.5,90,102,107,119,"sbp"
"16",1,4,10,100.2,90,103,107,119,"sbp"
"17",1,4,25,102.9,91,104,108,120,"sbp"
"18",1,4,50,105.9,92,105,108,120,"sbp"
"19",1,4,75,108.9,93,105,109,121,"sbp"
"20",1,4,90,111.5,94,106,110,122,"sbp"
"21",1,4,95,113.2,94,107,110,122,"sbp"
"22",1,5,5,104.4,91,103,107,119,"sbp"
"23",1,5,10,106.2,92,104,108,120,"sbp"
"24",1,5,25,109.1,93,105,109,121,"sbp"
"25",1,5,50,112.4,94,106,109,121,"sbp"
"26",1,5,75,115.7,95,107,110,122,"sbp"
"27",1,5,90,118.6,96,108,111,123,"sbp"
"28",1,5,95,120.3,96,108,112,124,"sbp"
"29",1,6,5,110.3,93,105,108,120,"sbp"
"30",1,6,10,112.2,93,105,109,121,"sbp"
"31",1,6,25,115.3,94,106,110,122,"sbp"
"32",1,6,50,118.9,95,107,111,123,"sbp"
"33",1,6,75,122.4,96,109,112,124,"sbp"
"34",1,6,90,125.6,97,110,113,125,"sbp"
"35",1,6,95,127.5,98,110,114,126,"sbp"
"36",1,7,5,116.1,94,106,110,122,"sbp"
"37",1,7,10,118,94,107,110,122,"sbp"
"38",1,7,25,121.4,95,108,111,123,"sbp"
"39",1,7,50,125.1,97,109,112,124,"sbp"
"40",1,7,75,128.9,98,110,114,126,"sbp"
"41",1,7,90,132.4,98,111,115,127,"sbp"
"42",1,7,95,134.5,99,111,116,128,"sbp"
"43",1,8,5,121.4,95,107,111,123,"sbp"
"44",1,8,10,123.5,96,108,112,124,"sbp"
"45",1,8,25,127,97,109,112,124,"sbp"
"46",1,8,50,131,98,110,114,126,"sbp"
"47",1,8,75,135.1,99,111,115,127,"sbp"
